Timestamp (ART),Red,Tipo de mensaje,Recibido de (nombre de la red),Message
2026-03-10 10:05:52,LinkedIn,Company Mention Post,sandra-andrea-gonzalez-bb615639,"Hoy recibí mi certificado como Experta Universitaria en Counseling. 

Más allá del título, este camino representó un proceso profundo de aprendizaje, reflexión y crecimiento personal. Un espacio para comprender mejor a las personas, sus procesos, sus búsquedas y la importancia de una escucha genuina.

Me siento muy agradecida por todo lo aprendido en este recorrido.

Un especial agradecimiento Centro de e-Learning UTN FRBA  y a la profesora Verónica Recchia por la calidad y la calidez con la que acompañaron este proceso formativo.
Seguimos aprendiendo."
2026-03-10 09:41:08,LinkedIn,Company Mention Post,diego-romero2503,"Este año cerré una etapa que me deja muy contento:

Me recibí  de Técnico Universitario en Administración de Empresas en Centro de e-Learning UTN FRBA. 🎓

Fue un proceso muy enriquecedor, donde aprendí mucho y también pude aplicar varias de estas herramientas en el trabajo. Sin dudas me ayudó a crecer y a ver muchas cosas desde una perspectiva más profesional.

Pero esto no termina acá. Ahora sigo el camino con la Licenciatura, con ganas de seguir formándome y sumando nuevos desafíos. 🚀"
2026-03-10 09:30:30,LinkedIn,Company Mention Post,qramiroexequiel,"Como Analista de Sistemas, entiendo que la seguridad y la escalabilidad de un software nacen en su arquitectura. Durante 2025, completé el tramo inicial de la Diplomatura en Python en el Centro de e-Learning UTN FRBA, una experiencia clave para profesionalizar mi flujo de trabajo.

Más allá de la sintaxis, este nivel me permitió dominar estándares de industria como PEP8, depuración avanzada y el desarrollo de interfaces gráficas (GUI) con persistencia en SQLite.

Hoy, desde Fénix AutoDev (www.fenixautodev.com.ar), aplico este rigor técnico para asegurar que cada solución de automatización que entregamos sea robusta, legible y fácil de mantener. ¡El código limpio es la primera línea de defensa! 💻🐍

#Python #SoftwareEngineering #CleanCode #AnalistaDeSistemas #FenixAutoDev #UTN"
2026-03-10 09:28:36,LinkedIn,Company Mention Post,ludueñac,"¡Certificación en la UTN!Centro de e-Learning UTN FRBA 🎓 Recientemente finalicé el curso en Python para Finanzas, donde profundicé en el análisis cuantitativo y el modelado de datos aplicado al mercado de capitales.
Durante el programa, desarrollé un flujo de trabajo integral en Google Colab: 🔹 Análisis de Datos: Limpieza y manipulación de series temporales con Pandas y NumPy. 🔹 Visualización: Gráficos dinámicos . 🔹 Machine Learning: Modelado predictivo  para anticipar comportamientos del mercado. 🔹 Integración: Consumo de APIs (Alpha Vantage) para extraer las cotizaciones en tiempo real del precio de las acciones de las grandes empresas( Mercado libre, Google, Tesla,Amazon)"
2026-03-10 09:15:06,LinkedIn,Company Mention Post,agustín-elías-bruno-80a0151b0,"Muy contento de haber finalizado el Posgrado en Gestión de Proyectos de la Universidad Tecnológica Nacional (UTN) | Centro de e-Learning UTN FRBA.

Desde mi formación como Ingeniero Industrial siempre tuve interés en profundizar en la gestión de proyectos. Conceptos como gestión de la calidad, alcance, tiempos, costos y riesgos forman parte de nuestra base, pero este posgrado me permitió abordarlos dentro de un marco metodológico mucho más estructurado y aplicado.
Uno de los momentos más enriquecedores fue el trabajo final integrador, donde analizamos en equipo el caso Proyecto Jaguar de Teradyne, un caso real desarrollado por Harvard, que nos permitió aplicar herramientas de planificación, gestión de recursos, identificación de riesgos y toma de decisiones en un contexto empresarial concreto.
Me llevo nuevas herramientas para anticipar problemas, mejorar la toma de decisiones y comprender aún más la dinámica de trabajo en proyectos y equipos multidisciplinarios.

Agradezco a los docentes y compañeros por el intercambio y el aprendizaje compartido.

#ProjectManagement #GestionDeProyectos #UTN #ContinuousLearning"
2026-03-10 09:11:22,LinkedIn,Company Mention Post,tomas-rulfi-831a97384,"Mucha emoción y ansias de haber comenzado esta nueva etapa en mi carrera profesional en la UTN 
Centro de e-Learning UTN FRBA"
2026-03-10 09:00:25,LinkedIn,Company Mention Post,gestión-de-las-organizaciones-lte,"🚀 El rol del tecnólogo educativo empieza por comprender la dinámica humana de las instituciones, antes que la técnica. 
¡Bienvenidos a la primera clase!
 
Gestión de las Organizaciones - LTE
Centro de e-Learning UTN FRBA

#TecnologíaEducativa #UTN #GestiónDeLasOrganizaciones #CulturaOrganizacional #GestionDelConflicto"
2026-03-10 08:48:57,LinkedIn,Company Mention Post,laura-natalia-león-20aa73147,"¡Me alegra contaros que he empezado mis estudios de Tecnico Universitario en Logistica en Centro de e-Learning UTN FRBA! "
2026-03-10 08:19:59,LinkedIn,Company Comment,,Hola me he postulado para el puesto de analista de Sistemas 1.
2026-03-10 08:11:19,LinkedIn,Company Mention Post,felipelozada,"
Hoy fue mi primer día de la Tecnicatura Universitaria en Programación en Centro de e-Learning UTN FRBA no puedo estar más entusiasmado por este nuevo desafío.

Comienzo esta etapa con muchas ganas de aprender, crecer y desarrollar habilidades en el mundo de la tecnología. Sé que el camino de la programación implica constancia, práctica y resolver muchos desafíos, pero justamente eso es lo que más me motiva.

Este es un paso importante en mi transición hacia el sector IT, donde espero seguir formándome, creando proyectos y sumando experiencia.

Muy contento por lo que empieza hoy y por todo lo que viene. 🚀
#Programación #UTN #Aprendizaje #Tecnología #IT #programación"
